Date, Amount ,Category,Property,CheckNum
3/9/15,$16.95 ,AOA Fees,42nd,
9/1/15,$16.95 ,AOA Fees,42nd,
,$661.24 ,Business Tax,42nd,1236
,$185.00 ,Gardening,42nd,1230
,$75.00 ,Gardening,42nd,1240
,$85.00 ,Gardening,42nd,1248
,$85.00 ,Gardening,42nd,1249
,$85.00 ,Gardening,42nd,1255
,$85.00 ,Gardening,42nd,1257
,$170.00 ,Gardening,42nd,1263
,$86.00 ,Legal & Other Professional Fees,42nd,1237
,$300.00 ,Legal & Other Professional Fees,42nd,
2/2/15,$41.92 ,Office Supplies,42nd,
,"$1,995.48 ",Property Tax,42nd,1231
,"$1,969.67 ",Property Tax,42nd,1264
,$200.00 ,Repairs,42nd,1260
3/9/15,$348.89 ,Repairs,42nd,
7/28/15,$70.00 ,Repairs,42nd,
6/24/15,$80.00 ,Repairs,42nd,
7/29/15,$18.03 ,Supplies,42nd,
7/30/15,$36.39 ,Supplies,42nd,
9/28/15,$16.49 ,Supplies,42nd,
10/19/15,$45.06 ,Supplies,42nd,
8/14/15,$5.45 ,Supplies,42nd,
9/15/15,$15.97 ,Supplies,42nd,
4/12/15,$73.93 ,Supplies,42nd,
4/16/15,$10.00 ,Supplies,42nd,
3/27/15,$23.00 ,Tools,42nd,
,$69.67 ,Gardening,42nd,
,$446.74 ,Utilities,42nd,1229
,$215.46 ,Utilities,42nd,1244
,$196.08 ,Utilities,42nd,1252
,$459.00 ,Utilities,42nd,1267
,$806.58 ,Utilities,42nd,
,"$1,949.79 ",Insurance,42nd,Allstate
7/29/15,$36.39 ,Supplies,42nd,
7/29/15,$18.03 ,Supplies,42nd,
,$2.57 ,Supplies,42nd,
,"$6,479.62 ",Mortgage Interest,42nd,
4/1/15,$16.95 ,AOA Fees,Magnolia,
7/21/15,$16.95 ,AOA Fees,Magnolia,
,$734.26 ,Business Tax,Magnolia,1235
,$250.00 ,Gardening,Magnolia,1224
,$270.00 ,Gardening,Magnolia,1226
,$135.00 ,Gardening,Magnolia,1227
,$135.00 ,Gardening,Magnolia,1240
,$150.00 ,Gardening,Magnolia,1248
,$135.00 ,Gardening,Magnolia,1249
,$135.00 ,Gardening,Magnolia,1255
,$135.00 ,Gardening,Magnolia,1257
,$270.00 ,Gardening,Magnolia,1263
1/29/15,"$2,371.38 ",Insurance,Magnolia,Farmers
,$30.00 ,Legal & Other Professional Fees,Magnolia,1237
2/2/15,$87.19 ,Office Supplies,Magnolia,
,"$1,724.30 ",Property Tax,Magnolia,1232
,"$1,771.94 ",Property Tax,Magnolia,1265
,$225.00 ,Repairs,Magnolia,1233
,$80.00 ,Repairs,Magnolia,1251
,$325.00 ,Repairs,Magnolia,1259
3/14/15,$218.67 ,Repairs,Magnolia,
3/15/15,$234.30 ,Repairs,Magnolia,
,$22.00 ,Repairs,Magnolia,
7/9/15,$12.14 ,Supplies,Magnolia,
9/8/15,$7.62 ,Supplies,Magnolia,
3/9/15,$81.68 ,Supplies,Magnolia,
3/15/15,$37.74 ,Supplies,Magnolia,
3/15/15,$14.05 ,Supplies,Magnolia,
1/10/15,$2.57 ,Supplies,Magnolia,
,$43.02 ,Supplies,Magnolia,
12/26/15,$438.14 ,Tools,Magnolia,
,$16.49 ,Tools,Magnolia,
,$245.08 ,Utilities,Magnolia,1243
,$594.13 ,Utilities,Magnolia,1228
,$465.03 ,Utilities,Magnolia,1253
,$271.40 ,Utilities,Magnolia,1268
,$806.58 ,Utilities,Magnolia,
7/28/15,$70.00 ,Repairs,Magnolia,
3/15/15,$14.05 ,Supplies,Magnolia,
5/29/15,$45.94 ,Supplies,Magnolia,
,"$4,821.20 ",Mortgage Interest,Magnolia,
,$125.00 ,Bookkeeping,,1220
,$75.00 ,Bookkeeping,,1222
,$88.00 ,Bookkeeping,,1238
,$50.00 ,Bookkeeping,,1242
,$125.00 ,Bookkeeping,,1254
,$80.00 ,Donation,,1258
10/5/15,$35.00 ,Education Credit - Books,,
,$112.00 ,Education Credit - Tuition,,1223
,$296.00 ,Education Credit - Tuition,,
,$40.00 ,Education Credit - Books,,
2/2/15,$3.53 ,Office Supplies,,
9/8/15,$40.46 ,Office Supplies,,
11/25/15,$240.00 ,PO box,,
3/6/15,$105.00 ,PO box,,
8/26/15,$120.00 ,PO box,,
7/27/15,$6.51 ,Postage,,
,$485.00 ,Tax Preparation,,1247
9/10/15,$49.99 ,Office Supplies,,
,$60.00 ,Safe Deposit Box,,
,$39.95 ,Professional Fees,,
,$120.00 ,Charity,,
