 Amount ,Category,Property
 $638.00 ,,
 $495.00 ,Business Tax,42nd
 $541.00 ,Business Tax,Magnolia
 $220.00 ,Gardening,
 $50.00 ,Repairs,42nd
" $1,969.67 ",Property Tax,42nd
" $1,771.94 ",Property Tax,Magnolia
 $75.00 ,Bookeeping,
 $440.00 ,Gardening,
 $240.00 ,PO Box,
 $505.00 ,Gardening,
 $223.56 ,Utilities,42nd
 $242.25 ,Utilities,Magnolia
 $60.00 ,,42nd
 $282.50 ,Bookeeping,
 $220.00 ,Gardening,
 $220.00 ,Gardening,
 $220.00 ,Gardening,
 $25.00 ,Bookeeping,
 $528.81 ,Utilities,Magnolia
 $472.02 ,Utilities,42nd
" $1,982.02 ",Property Tax,42nd
" $1,784.55 ",Property Tax,Magnolia
 $760.00 ,Gardening,
 $220.00 ,Gardening,
 $50.00 ,Donation,
 $50.00 ,Donation,
 $29.00 ,Supplies,Magnolia
 $16.95 ,AOA Fees,Magnolia
 $16.95 ,AOA Fees,Magnolia
 $197.00 ,AOA Fees,Magnolia
 $83.45 ,Supplies,
 $240.00 ,PO Box,Magnolia
